date,value,category,region,provider,service,is_anomaly
2025-04-12,2.4,compute,eu-west-2,aws,ec2,0
2025-04-12,31.41,compute,eu-west-2,aws,eks,0
2025-04-12,16.51,compute,eu-west-2,aws,lambda,0
2025-04-12,4.7,compute,eu-west-2,gcp,compute_engine,0
2025-04-12,4.96,compute,eu-west-2,gcp,gke,0
2025-04-12,4.9,compute,eu-west-2,gcp,cloud_run,0
2025-04-12,6.37,compute,eu-central-1,aws,ec2,0
2025-04-12,4.91,compute,eu-central-1,aws,eks,0
2025-04-12,11.44,compute,eu-central-1,aws,lambda,0
2025-04-12,2.41,compute,eu-central-1,gcp,compute_engine,0
2025-04-12,1.48,compute,eu-central-1,gcp,gke,0
2025-04-12,2.69,compute,eu-central-1,gcp,cloud_run,0
2025-04-12,2.87,storage,eu-west-2,aws,s3,0
2025-04-12,17.55,storage,eu-west-2,aws,efs,0
2025-04-12,5.91,storage,eu-west-2,gcp,cloud_storage,0
2025-04-12,2.06,storage,eu-central-1,aws,s3,0
2025-04-12,7.16,storage,eu-central-1,aws,efs,0
2025-04-12,2.67,storage,eu-central-1,gcp,cloud_storage,0
2025-04-12,1.35,network,eu-west-2,aws,cloudfront,0
2025-04-12,0.01,network,eu-west-2,aws,nat_gateway,0
2025-04-12,11.12,network,eu-west-2,aws,vpc_endpoints,0
2025-04-12,3.46,network,eu-west-2,gcp,cloud_cdn,0
2025-04-12,0.16,network,eu-west-2,gcp,cloud_nat,0
2025-04-12,2.24,network,eu-central-1,aws,cloudfront,0
2025-04-12,2.82,network,eu-central-1,aws,nat_gateway,0
2025-04-12,0.58,network,eu-central-1,aws,vpc_endpoints,0
2025-04-12,0.24,network,eu-central-1,gcp,cloud_cdn,0
2025-04-12,1.39,network,eu-central-1,gcp,cloud_nat,0
2025-04-13,19.36,compute,eu-west-2,aws,ec2,0
2025-04-13,12.97,compute,eu-west-2,aws,eks,0
2025-04-13,19.31,compute,eu-west-2,aws,lambda,0
2025-04-13,6.26,compute,eu-west-2,gcp,compute_engine,0
2025-04-13,4.96,compute,eu-west-2,gcp,gke,0
2025-04-13,2.95,compute,eu-west-2,gcp,cloud_run,0
2025-04-13,4.07,compute,eu-central-1,aws,ec2,0
2025-04-13,14.67,compute,eu-central-1,aws,eks,0
2025-04-13,2.32,compute,eu-central-1,aws,lambda,0
2025-04-13,1.14,compute,eu-central-1,gcp,compute_engine,0
2025-04-13,2.33,compute,eu-central-1,gcp,gke,0
2025-04-13,2.32,compute,eu-central-1,gcp,cloud_run,0
2025-04-13,12.99,storage,eu-west-2,aws,s3,0
2025-04-13,6.29,storage,eu-west-2,aws,efs,0
2025-04-13,5.29,storage,eu-west-2,gcp,cloud_storage,0
2025-04-13,1.36,storage,eu-central-1,aws,s3,0
2025-04-13,6.5,storage,eu-central-1,aws,efs,0
2025-04-13,2.16,storage,eu-central-1,gcp,cloud_storage,0
2025-04-13,2.05,network,eu-west-2,aws,cloudfront,0
2025-04-13,4.56,network,eu-west-2,aws,nat_gateway,0
2025-04-13,5.08,network,eu-west-2,aws,vpc_endpoints,0
2025-04-13,2.63,network,eu-west-2,gcp,cloud_cdn,0
2025-04-13,0.58,network,eu-west-2,gcp,cloud_nat,0
2025-04-13,0.9,network,eu-central-1,aws,cloudfront,0
2025-04-13,2.68,network,eu-central-1,aws,nat_gateway,0
2025-04-13,1.18,network,eu-central-1,aws,vpc_endpoints,0
2025-04-13,0.74,network,eu-central-1,gcp,cloud_cdn,0
2025-04-13,0.57,network,eu-central-1,gcp,cloud_nat,0
2025-04-14,9.94,compute,eu-west-2,aws,ec2,0
2025-04-14,15.99,compute,eu-west-2,aws,eks,0
2025-04-14,28.95,compute,eu-west-2,aws,lambda,0
2025-04-14,6.14,compute,eu-west-2,gcp,compute_engine,0
2025-04-14,4.17,compute,eu-west-2,gcp,gke,0
2025-04-14,2.86,compute,eu-west-2,gcp,cloud_run,0
2025-04-14,5.68,compute,eu-central-1,aws,ec2,0
2025-04-14,10.94,compute,eu-central-1,aws,eks,0
2025-04-14,6.6,compute,eu-central-1,aws,lambda,0
2025-04-14,2.41,compute,eu-central-1,gcp,compute_engine,0
2025-04-14,2.89,compute,eu-central-1,gcp,gke,0
2025-04-14,0.28,compute,eu-central-1,gcp,cloud_run,0
2025-04-14,0.13,storage,eu-west-2,aws,s3,0
2025-04-14,25.28,storage,eu-west-2,aws,efs,0
2025-04-14,6.1,storage,eu-west-2,gcp,cloud_storage,0
2025-04-14,8.49,storage,eu-central-1,aws,s3,0
2025-04-14,2.26,storage,eu-central-1,aws,efs,0
2025-04-14,2.58,storage,eu-central-1,gcp,cloud_storage,0
2025-04-14,4.23,network,eu-west-2,aws,cloudfront,0
2025-04-14,4.28,network,eu-west-2,aws,nat_gateway,0
2025-04-14,8.42,network,eu-west-2,aws,vpc_endpoints,0
2025-04-14,0.88,network,eu-west-2,gcp,cloud_cdn,0
2025-04-14,3.19,network,eu-west-2,gcp,cloud_nat,0
2025-04-14,2.87,network,eu-central-1,aws,cloudfront,0
2025-04-14,0.96,network,eu-central-1,aws,nat_gateway,0
2025-04-14,3.33,network,eu-central-1,aws,vpc_endpoints,0
2025-04-14,1.18,network,eu-central-1,gcp,cloud_cdn,0
2025-04-14,0.54,network,eu-central-1,gcp,cloud_nat,0
2025-04-15,4.76,compute,eu-west-2,aws,ec2,0
2025-04-15,30.75,compute,eu-west-2,aws,eks,0
2025-04-15,22.79,compute,eu-west-2,aws,lambda,0
2025-04-15,5.61,compute,eu-west-2,gcp,compute_engine,0
2025-04-15,1.89,compute,eu-west-2,gcp,gke,0
2025-04-15,8.16,compute,eu-west-2,gcp,cloud_run,0
2025-04-15,19.6,compute,eu-central-1,aws,ec2,0
2025-04-15,2.1,compute,eu-central-1,aws,eks,0
2025-04-15,2.26,compute,eu-central-1,aws,lambda,0
2025-04-15,0.87,compute,eu-central-1,gcp,compute_engine,0
2025-04-15,4.65,compute,eu-central-1,gcp,gke,0
2025-04-15,0.92,compute,eu-central-1,gcp,cloud_run,0
2025-04-15,11.48,storage,eu-west-2,aws,s3,0
2025-04-15,10.16,storage,eu-west-2,aws,efs,0
2025-04-15,5.81,storage,eu-west-2,gcp,cloud_storage,0
2025-04-15,3.07,storage,eu-central-1,aws,s3,0
2025-04-15,5.82,storage,eu-central-1,aws,efs,0
2025-04-15,2.39,storage,eu-central-1,gcp,cloud_storage,0
2025-04-15,3.73,network,eu-west-2,aws,cloudfront,0
2025-04-15,3.01,network,eu-west-2,aws,nat_gateway,0
2025-04-15,8.82,network,eu-west-2,aws,vpc_endpoints,0
2025-04-15,1.74,network,eu-west-2,gcp,cloud_cdn,0
2025-04-15,2.43,network,eu-west-2,gcp,cloud_nat,0
2025-04-15,0.66,network,eu-central-1,aws,cloudfront,0
2025-04-15,3.8,network,eu-central-1,aws,nat_gateway,0
2025-04-15,1.94,network,eu-central-1,aws,vpc_endpoints,0
2025-04-15,0.58,network,eu-central-1,gcp,cloud_cdn,0
2025-04-15,1.14,network,eu-central-1,gcp,cloud_nat,0
2025-04-16,24.84,compute,eu-west-2,aws,ec2,0
2025-04-16,16.9,compute,eu-west-2,aws,eks,0
2025-04-16,10.28,compute,eu-west-2,aws,lambda,0
2025-04-16,4.57,compute,eu-west-2,gcp,compute_engine,0
2025-04-16,4.83,compute,eu-west-2,gcp,gke,0
2025-04-16,7.08,compute,eu-west-2,gcp,cloud_run,0
2025-04-16,9.52,compute,eu-central-1,aws,ec2,0
2025-04-16,9.58,compute,eu-central-1,aws,eks,0
2025-04-16,4.02,compute,eu-central-1,aws,lambda,0
2025-04-16,1.79,compute,eu-central-1,gcp,compute_engine,0
2025-04-16,2.45,compute,eu-central-1,gcp,gke,0
2025-04-16,3.09,compute,eu-central-1,gcp,cloud_run,0
2025-04-16,8.16,storage,eu-west-2,aws,s3,0
2025-04-16,11.63,storage,eu-west-2,aws,efs,0
2025-04-16,6.27,storage,eu-west-2,gcp,cloud_storage,0
2025-04-16,4.23,storage,eu-central-1,aws,s3,0
2025-04-16,4.56,storage,eu-central-1,aws,efs,0
2025-04-16,2.79,storage,eu-central-1,gcp,cloud_storage,0
2025-04-16,1.08,network,eu-west-2,aws,cloudfront,0
2025-04-16,1.89,network,eu-west-2,aws,nat_gateway,0
2025-04-16,8.25,network,eu-west-2,aws,vpc_endpoints,0
2025-04-16,2.29,network,eu-west-2,gcp,cloud_cdn,0
2025-04-16,1.26,network,eu-west-2,gcp,cloud_nat,0
2025-04-16,1.78,network,eu-central-1,aws,cloudfront,0
2025-04-16,2.39,network,eu-central-1,aws,nat_gateway,0
2025-04-16,0.82,network,eu-central-1,aws,vpc_endpoints,0
2025-04-16,0.75,network,eu-central-1,gcp,cloud_cdn,0
2025-04-16,0.84,network,eu-central-1,gcp,cloud_nat,0
2025-04-17,0.35,compute,eu-west-2,aws,ec2,0
2025-04-17,2.91,compute,eu-west-2,aws,eks,0
2025-04-17,51.38,compute,eu-west-2,aws,lambda,0
2025-04-17,6.08,compute,eu-west-2,gcp,compute_engine,0
2025-04-17,0.29,compute,eu-west-2,gcp,gke,0
2025-04-17,8.03,compute,eu-west-2,gcp,cloud_run,0
2025-04-17,10.3,compute,eu-central-1,aws,ec2,0
2025-04-17,6.0,compute,eu-central-1,aws,eks,0
2025-04-17,5.63,compute,eu-central-1,aws,lambda,0
2025-04-17,0.03,compute,eu-central-1,gcp,compute_engine,0
2025-04-17,4.05,compute,eu-central-1,gcp,gke,0
2025-04-17,1.7,compute,eu-central-1,gcp,cloud_run,0
2025-04-17,14.65,storage,eu-west-2,aws,s3,0
2025-04-17,6.22,storage,eu-west-2,aws,efs,0
2025-04-17,5.5,storage,eu-west-2,gcp,cloud_storage,0
2025-04-17,5.25,storage,eu-central-1,aws,s3,0
2025-04-17,3.12,storage,eu-central-1,aws,efs,0
2025-04-17,2.21,storage,eu-central-1,gcp,cloud_storage,0
2025-04-17,3.88,network,eu-west-2,aws,cloudfront,0
2025-04-17,4.19,network,eu-west-2,aws,nat_gateway,0
2025-04-17,7.54,network,eu-west-2,aws,vpc_endpoints,0
2025-04-17,2.18,network,eu-west-2,gcp,cloud_cdn,0
2025-04-17,1.93,network,eu-west-2,gcp,cloud_nat,0
2025-04-17,0.71,network,eu-central-1,aws,cloudfront,0
2025-04-17,2.24,network,eu-central-1,aws,nat_gateway,0
2025-04-17,3.31,network,eu-central-1,aws,vpc_endpoints,0
2025-04-17,1.3,network,eu-central-1,gcp,cloud_cdn,0
2025-04-17,0.35,network,eu-central-1,gcp,cloud_nat,0
2025-04-18,19.21,compute,eu-west-2,aws,ec2,0
2025-04-18,5.45,compute,eu-west-2,aws,eks,0
2025-04-18,36.56,compute,eu-west-2,aws,lambda,0
2025-04-18,7.35,compute,eu-west-2,gcp,compute_engine,0
2025-04-18,2.5,compute,eu-west-2,gcp,gke,0
2025-04-18,2.67,compute,eu-west-2,gcp,cloud_run,0
2025-04-18,16.25,compute,eu-central-1,aws,ec2,0
2025-04-18,0.45,compute,eu-central-1,aws,eks,0
2025-04-18,9.67,compute,eu-central-1,aws,lambda,0
2025-04-18,1.9,compute,eu-central-1,gcp,compute_engine,0
2025-04-18,2.82,compute,eu-central-1,gcp,gke,0
2025-04-18,0.67,compute,eu-central-1,gcp,cloud_run,0
2025-04-18,15.18,storage,eu-west-2,aws,s3,0
2025-04-18,8.55,storage,eu-west-2,aws,efs,0
2025-04-18,4.85,storage,eu-west-2,gcp,cloud_storage,0
2025-04-18,0.82,storage,eu-central-1,aws,s3,0
2025-04-18,9.4,storage,eu-central-1,aws,efs,0
2025-04-18,2.09,storage,eu-central-1,gcp,cloud_storage,0
2025-04-18,5.55,network,eu-west-2,aws,cloudfront,0
2025-04-18,3.61,network,eu-west-2,aws,nat_gateway,0
2025-04-18,4.88,network,eu-west-2,aws,vpc_endpoints,0
2025-04-18,2.24,network,eu-west-2,gcp,cloud_cdn,0
2025-04-18,0.63,network,eu-west-2,gcp,cloud_nat,0
2025-04-18,2.65,network,eu-central-1,aws,cloudfront,0
2025-04-18,1.13,network,eu-central-1,aws,nat_gateway,0
2025-04-18,2.26,network,eu-central-1,aws,vpc_endpoints,0
2025-04-18,1.14,network,eu-central-1,gcp,cloud_cdn,0
2025-04-18,0.09,network,eu-central-1,gcp,cloud_nat,0
2025-04-19,25.43,compute,eu-west-2,aws,ec2,0
2025-04-19,24.54,compute,eu-west-2,aws,eks,0
2025-04-19,1.03,compute,eu-west-2,aws,lambda,0
2025-04-19,5.0,compute,eu-west-2,gcp,compute_engine,0
2025-04-19,2.14,compute,eu-west-2,gcp,gke,0
2025-04-19,6.4,compute,eu-west-2,gcp,cloud_run,0
2025-04-19,0.57,compute,eu-central-1,aws,ec2,0
2025-04-19,11.84,compute,eu-central-1,aws,eks,0
2025-04-19,10.6,compute,eu-central-1,aws,lambda,0
2025-04-19,0.71,compute,eu-central-1,gcp,compute_engine,0
2025-04-19,0.36,compute,eu-central-1,gcp,gke,0
2025-04-19,5.04,compute,eu-central-1,gcp,cloud_run,0
2025-04-19,5.16,storage,eu-west-2,aws,s3,0
2025-04-19,17.73,storage,eu-west-2,aws,efs,0
2025-04-19,6.08,storage,eu-west-2,gcp,cloud_storage,0
2025-04-19,6.07,storage,eu-central-1,aws,s3,0
2025-04-19,4.25,storage,eu-central-1,aws,efs,0
2025-04-19,2.74,storage,eu-central-1,gcp,cloud_storage,0
2025-04-19,0.55,network,eu-west-2,aws,cloudfront,0
2025-04-19,8.47,network,eu-west-2,aws,nat_gateway,0
2025-04-19,2.72,network,eu-west-2,aws,vpc_endpoints,0
2025-04-19,1.24,network,eu-west-2,gcp,cloud_cdn,0
2025-04-19,1.88,network,eu-west-2,gcp,cloud_nat,0
2025-04-19,2.65,network,eu-central-1,aws,cloudfront,0
2025-04-19,0.26,network,eu-central-1,aws,nat_gateway,0
2025-04-19,2.38,network,eu-central-1,aws,vpc_endpoints,0
2025-04-19,0.65,network,eu-central-1,gcp,cloud_cdn,0
2025-04-19,0.76,network,eu-central-1,gcp,cloud_nat,0
2025-04-20,18.42,compute,eu-west-2,aws,ec2,0
2025-04-20,19.92,compute,eu-west-2,aws,eks,0
2025-04-20,14.44,compute,eu-west-2,aws,lambda,0
2025-04-20,5.43,compute,eu-west-2,gcp,compute_engine,0
2025-04-20,5.13,compute,eu-west-2,gcp,gke,0
